iter	Logloss
0	0.6775685445
1	0.6612790092
2	0.6483393216
3	0.634647822
4	0.6245239636
5	0.6140074663
6	0.6035107832
7	0.594528014
8	0.5848410279
9	0.5753717889
10	0.5673719092
11	0.5584412222
12	0.5489786807
13	0.5423057539
14	0.534849696
15	0.5274200837
16	0.5206020698
17	0.5134666237
18	0.5067413191
19	0.5014502291
20	0.4966390561
21	0.4921127609
22	0.4869164717
23	0.4824945951
24	0.4787798211
25	0.4736290788
26	0.4701727402
27	0.46700085
28	0.4641342873
29	0.4603821475
30	0.4567134184
31	0.4528506421
32	0.4494291466
33	0.4458039616
34	0.4430509466
35	0.4406685432
36	0.4374598561
37	0.4347709832
38	0.4320740985
39	0.4292501785
40	0.4270601595
41	0.4244943537
42	0.4215876151
43	0.4194972503
44	0.417343942
45	0.4154790902
46	0.4136044517
47	0.4113532511
48	0.4097561304
49	0.4077879469
50	0.405962561
51	0.4037899968
52	0.4022705567
53	0.4006022411
54	0.3988318121
55	0.3974494185
56	0.3960864628
57	0.3941987527
58	0.3927433265
59	0.3910351852
60	0.3893873302
61	0.3879154467
62	0.3866789276
63	0.3854477739
64	0.3841882571
65	0.3829434455
66	0.3818496752
67	0.3807378114
68	0.3795493759
69	0.3781492919
70	0.3766485106
71	0.3751604076
72	0.3738075825
73	0.3730401357
74	0.3721025095
75	0.3706680638
76	0.3697499315
77	0.3688554588
78	0.3680181816
79	0.3671328525
80	0.3661828032
81	0.365570289
82	0.3644535135
83	0.3635173465
84	0.3624722122
85	0.3617272768
86	0.3608222335
87	0.3599870487
88	0.3591206115
89	0.3578920389
90	0.3568971564
91	0.3558382663
92	0.3550588485
93	0.3544858745
94	0.3536994636
95	0.3531030609
96	0.3522567893
97	0.3513622197
98	0.3502918628
99	0.3499087681
100	0.3491330372
101	0.3484183222
102	0.3471651433
103	0.3464649837
104	0.3455672662
105	0.3451649081
106	0.3443729885
107	0.343726522
108	0.3431670888
109	0.3424671724
110	0.3419190366
111	0.3413727205
112	0.3407661
113	0.3402607034
114	0.3397477206
115	0.3391345375
116	0.3382974474
117	0.3381599164
118	0.3376212662
119	0.3372384341
120	0.3365039301
121	0.3357090121
122	0.3349954609
123	0.3345675386
124	0.3340363148
125	0.3333488225
126	0.3327441079
127	0.332184781
128	0.3313554462
129	0.3305891465
130	0.3298832586
131	0.3294460401
132	0.3288307232
133	0.3282053188
134	0.3277635409
135	0.3273383498
136	0.3269078905
137	0.326333174
138	0.325955956
139	0.3255653573
140	0.325248786
141	0.3246754668
142	0.3242543882
143	0.3237873017
144	0.3231368207
145	0.3224355829
146	0.3220022947
147	0.3216161886
148	0.3213587758
149	0.320812264
150	0.3204900888
151	0.3201845213
152	0.3195103209
153	0.3190206019
154	0.3185020138
155	0.3181747698
156	0.3178384006
157	0.3174547178
158	0.3171329475
159	0.3168007951
160	0.316329593
161	0.3159770858
162	0.3155741475
163	0.3150730971
164	0.3147348687
165	0.3144414395
166	0.3141186037
167	0.3135166295
168	0.313182616
169	0.3126204051
170	0.3121100902
171	0.3114328733
172	0.311057118
173	0.3106969962
174	0.3104334802
175	0.310080997
176	0.3098109175
177	0.3095002434
178	0.3088869862
179	0.3085533513
180	0.3081906082
181	0.3077290077
182	0.3071476096
183	0.3066507113
184	0.3062238066
185	0.3060992941
186	0.3057048336
187	0.3051783052
188	0.3048912367
189	0.3045013325
190	0.3042187316
191	0.3037047345
192	0.303347661
193	0.3029330311
194	0.3025213282
195	0.3022560863
196	0.3019709157
197	0.3016172028
198	0.3011880553
199	0.3007972093
200	0.3003577536
201	0.2998982534
202	0.2995761256
203	0.2992383642
204	0.2988011188
205	0.2982954679
206	0.2978011283
207	0.2976185209
208	0.2973062202
209	0.2970237949
210	0.2966587888
211	0.2965006235
212	0.2961190786
213	0.2958305484
214	0.2955231128
215	0.2952571163
216	0.2950436013
217	0.294507586
218	0.2942337084
219	0.2938669793
220	0.2934259538
221	0.2931317442
222	0.2928167662
223	0.2925822865
224	0.2923989618
225	0.2921866647
226	0.292166538
227	0.2917832591
228	0.2915206548
229	0.2912065694
230	0.2906669995
231	0.2903460369
232	0.2901011458
233	0.2899413438
234	0.2896962301
235	0.2894374533
236	0.2889012997
237	0.2886685626
238	0.2885545753
239	0.2883320262
240	0.2879600421
241	0.2874809684
242	0.2872622701
243	0.2869714771
244	0.2865588853
245	0.2863376256
246	0.2860006095
247	0.2857048944
248	0.2852782401
249	0.2850436113
250	0.2847547835
251	0.2845391674
252	0.2840956914
253	0.2837451365
254	0.2834258468
255	0.2832172536
256	0.2829241149
257	0.282750265
258	0.2821883856
259	0.2818843847
260	0.2815171399
261	0.2810818889
262	0.2808057721
263	0.2805027416
264	0.2801365293
265	0.2796489667
266	0.279340529
267	0.2789890319
268	0.2785966525
269	0.2783600895
270	0.2781114868
271	0.2778398423
272	0.2775330743
273	0.2772307588
274	0.2769192887
275	0.276714763
276	0.2763975953
277	0.2760656094
278	0.2758860486
279	0.2755477598
280	0.2752965435
281	0.2749665916
282	0.2745734463
283	0.2742778992
284	0.2740411612
285	0.2738289243
286	0.2736063281
287	0.2734571306
288	0.273224626
289	0.2728940873
290	0.2724543928
291	0.2722032683
292	0.2719363807
293	0.2717701575
294	0.27153912
295	0.2712530773
296	0.2710356064
297	0.2708661925
298	0.2707035395
299	0.2705262745
300	0.2702111925
301	0.2697913088
302	0.2695105685
303	0.2693548376
304	0.2690621885
305	0.2688209966
306	0.2684843359
307	0.2683291316
308	0.2677418992
309	0.2675724746
310	0.2673905924
311	0.2672415623
312	0.2670042143
313	0.2668382654
314	0.2665329643
315	0.2663435315
316	0.2661657492
317	0.2658972988
318	0.2655587107
319	0.2652486282
320	0.2650679911
321	0.2649365006
322	0.2646880702
